metro13,metro_title,change_ln_population,not_lbfr_share_prime_change,unemployed_share_prime_change,non_hc_share_prime_change,hc_emp_share_prime_change,manu_share_prime_change,non_manu_share_prime_change,manufacturing_share_prime1980,ln_msa_pop2022,ln_msa_pop1980,medicare_share1980,medicare_share2022,change_medicare_share,ln_aearn1980,ln_aearn2022,change_earnings,college1980,college2022,change_college,healthcare_share_prime2022,healthcare_share_prime1980,change_non_hc_share_lbfr,change_ln_non_hc,non_hc_manu_share_prime_change
48,TX,0.162,-0.08658,0.01154,0.04526,0.02978,-0.03174,0.1068,0.1098,14.88,14.72,0.1529,0.1929,0.03994,10.25,10.67,0.4261,0.09508,0.1895,0.09438,0.078,0.04823,-0.02768,0.2685,0.077
51,VA,-0.0253,-0.0473,-0.01169,-0.001067,0.06005,-0.122,0.181,0.2196,13.8,13.83,0.127,0.2438,0.1168,10.19,10.69,0.4942,0.07695,0.1929,0.116,0.09799,0.03794,-0.05883,-0.03936,0.12094
53,WA,0.4417,-0.04949,-0.03081,0.03829,0.04201,-0.0245,0.1048,0.08772,13.53,13.09,0.1233,0.241,0.1177,10.34,10.88,0.5403,0.1406,0.2715,0.1309,0.08197,0.03996,-0.04907,0.4314,0.062789999
54,WV,-0.2429,-0.06116,-0.01682,0.01837,0.05961,-0.03198,0.11,0.09706,13.37,13.62,0.1267,0.229,0.1024,10.31,10.65,0.3344,0.08017,0.1821,0.1019,0.1021,0.04246,-0.06467,-0.1969,0.050349999
55,WI,0.1405,-0.07954,-0.02971,0.07439,0.03486,-0.01131,0.1206,0.1911,14.22,14.08,0.1469,0.223,0.07607,10.35,10.78,0.4287,0.1012,0.2176,0.1164,0.09201,0.05715,-0.02832,0.2473,0.085699998
10420,"Akron, OH",0.0328,-0.09325,-0.02887,0.07576,0.04636,-0.1022,0.2243,0.236,13.43,13.4,0.104,0.1916,0.08764,10.55,10.87,0.3272,0.1466,0.3343,0.1878,0.1004,0.05406,-0.0412,0.1161,0.17795999
10580,"Albany-Schenectady-Troy, NY",0.1182,-0.09591,-0.004503,0.08092,0.0195,-0.04523,0.1456,0.1262,13.67,13.56,0.1258,0.1914,0.06558,10.45,11.03,0.5821,0.1776,0.3897,0.2121,0.08713,0.06763,-0.01408,0.2622,0.12614299
10740,"Albuquerque, NM",0.5549,-0.06185,-0.01366,0.02358,0.05193,-0.0139,0.08941,0.05615,13.72,13.17,0.08143,0.1852,0.1037,10.36,10.82,0.4651,0.1855,0.3238,0.1383,0.1084,0.05646,-0.05598,0.585,0.03748
10900,"Allentown-Bethlehem-Easton, PA-NJ",0.2863,-0.0798,0.003178,0.009853,0.06677,-0.1941,0.2707,0.3001,13.65,13.36,0.1294,0.1891,0.05976,10.52,10.91,0.3879,0.1232,0.3023,0.1791,0.1183,0.05154,-0.06341,0.3374,0.203952
12060,"Atlanta-Sandy Springs-Roswell, GA",0.966,-0.06392,-0.001914,0.02828,0.03756,-0.06942,0.1353,0.1405,15.63,14.66,0.08101,0.1343,0.05334,10.45,10.96,0.5104,0.1773,0.376,0.1987,0.08368,0.04612,-0.03269,1.025,0.097694002
