metro13,metro_title,change_ln_population,not_lbfr_share_prime_change,unemployed_share_prime_change,non_hc_share_prime_change,hc_emp_share_prime_change,manu_share_prime_change,non_manu_share_prime_change,manufacturing_share_prime1980,ln_msa_pop2022,ln_msa_pop1980,medicare_share1980,medicare_share2022,change_medicare_share,ln_aearn1980,ln_aearn2022,change_earnings,college1980,college2022,change_college,healthcare_share_prime2022,healthcare_share_prime1980,change_non_hc_share_lbfr,change_ln_non_hc,non_hc_manu_share_prime_change,gdp_growth_2019_percent,gdp_growth_2020_percent,gdp_growth_2021_percent,gdp_growth_2022_percent,gdp_growth_2023_percent
24860,"Greenville-Anderson-Mauldin, SC",0.5243,-0.02937,0.002066,-0.02352,0.05082,-0.1739,0.2012,0.3097,13.75,13.22,0.09895,0.1766,0.07761,10.29,10.83,0.532,0.1288,0.3201,0.1913,0.0891,0.03828,-0.05044,0.5079,0.15038399,2.1,-2.9,5.1,4.1,2.8
25420,"Harrisburg-Carlisle, PA",0.267,-0.07024,-0.003307,0.006224,0.06733,-0.09094,0.1645,0.1485,13.28,13.01,0.1162,0.189,0.07286,10.5,10.93,0.4338,0.1473,0.3417,0.1944,0.1217,0.05442,-0.0545,0.27,0.097157001,3.1,-4.9,5.2,1.2,1.2
25540,"Hartford-West Hartford-East Hartford, CT",0.05256,-0.07291,0.005982,0.02171,0.04522,-0.115,0.182,0.213,13.92,13.87,0.1138,0.186,0.0722,10.56,11.08,0.5267,0.1906,0.4004,0.2098,0.1115,0.06625,-0.03888,0.09108,0.13670801,1.0,-6.9,3.0,2.9,2.3
26420,"Houston-The Woodlands-Sugar Land, TX",0.8387,-0.02708,0.01475,-0.01872,0.03104,-0.07093,0.08325,0.1438,15.8,14.96,0.06391,0.1222,0.05828,10.59,10.91,0.3194,0.1935,0.3196,0.1261,0.0802,0.04916,-0.03277,0.8143,0.052220002,-0.9,-1.8,4.8,4.3,5.4
26900,"Indianapolis-Carmel-Anderson, IN",0.4441,-0.07034,-0.01941,0.04072,0.04903,-0.1021,0.1919,0.2037,14.56,14.11,0.09942,0.147,0.04762,10.51,10.94,0.4264,0.1405,0.3525,0.212,0.1088,0.05972,-0.04464,0.505,0.14282,2.2,-0.7,6.8,4.1,1.9
27260,"Jacksonville, FL",0.8028,-0.08684,-0.00473,0.04395,0.04762,-0.03694,0.1285,0.0765,14.31,13.51,0.09635,0.1716,0.07521,10.37,10.9,0.5285,0.1264,0.3356,0.2092,0.09826,0.05064,-0.04278,0.8772,0.08089,4.3,1.3,7.7,6.3,4.3
28140,"Kansas City, MO-KS",0.3859,-0.06891,-0.008737,0.03603,0.04162,-0.06425,0.1419,0.1381,14.59,14.21,0.1079,0.1594,0.05149,10.52,10.93,0.4109,0.1627,0.3633,0.2006,0.102,0.06039,-0.03424,0.4353,0.100277,2.3,-1.9,3.6,5.0,2.7
28940,"Knoxville, TN",0.381,-0.07231,-0.02425,0.04502,0.05154,-0.06951,0.1661,0.1576,13.72,13.34,0.1139,0.1898,0.07587,10.31,10.82,0.5124,0.1463,0.2944,0.1481,0.1024,0.05086,-0.04749,0.4383,0.11453,2.1,0.6,8.9,4.1,2.0
29460,"Lakeland-Winter Haven, FL",0.8746,-0.05754,-0.002038,0.02803,0.03155,-0.05532,0.1149,0.1066,13.56,12.68,0.1429,0.1959,0.053,10.24,10.65,0.417,0.1063,0.2075,0.1013,0.07873,0.04719,-0.0316,0.9188,0.083347999,4.0,2.5,7.2,4.2,2.2
29820,"Las Vegas-Henderson-Paradise, NV",1.605,-0.006327,0.0006502,-0.02106,0.02674,0.002055,0.003622,0.027,14.65,13.05,0.07563,0.1575,0.08182,10.45,10.78,0.3318,0.1154,0.2418,0.1264,0.06449,0.03775,-0.03199,1.534,-0.0231182,4.5,-8.5,10.9,6.4,3.2
30780,"Little Rock-North Little Rock-Conway, AR",0.4051,-0.01282,-0.001746,-0.04659,0.06116,-0.08179,0.09637,0.1373,13.52,13.11,0.1004,0.1656,0.06522,10.36,10.8,0.4363,0.1491,0.2944,0.1452,0.1338,0.07263,-0.05273,0.3869,0.035195999,0.8,0.8,4.6,1.1,3.5
31080,"Los Angeles-Long Beach-Anaheim, CA",0.2941,-0.0503,0.004009,0.02229,0.024,-0.1168,0.1631,0.1886,16.35,16.06,0.09551,0.1529,0.05744,10.56,10.98,0.4243,0.1793,0.3443,0.165,0.08024,0.05624,-0.02456,0.3393,0.139091,3.6,-4.3,6.1,2.3,0.9
31140,"Louisville/Jefferson County, KY-IN",0.2343,-0.09499,-0.01631,0.06004,0.05127,-0.08792,0.1992,0.1991,14.07,13.84,0.1051,0.1709,0.06573,10.46,10.87,0.4059,0.1231,0.3189,0.1958,0.1054,0.05416,-0.0369,0.3361,0.14794999,3.8,-2.0,4.9,2.0,1.6
31540,"Madison, WI",0.4719,-0.06563,-0.0195,0.05755,0.02758,0.001015,0.08411,0.0954,13.41,12.94,0.09633,0.162,0.06564,10.46,11.03,0.5719,0.2476,0.4648,0.2172,0.1083,0.08071,-0.02288,0.5271,0.056535002,2.7,-2.4,5.9,2.2,3.2
32580,"McAllen-Edinburg-Mission, TX",1.136,-0.06514,-0.006263,0.0103,0.06111,-0.03483,0.1062,0.07942,13.69,12.55,0.09164,0.1144,0.02281,9.957,10.55,0.5919,0.09872,0.1797,0.08099,0.09179,0.03069,-0.07689,1.223,0.045123,3.8,-2.1,5.4,1.9,3.8
32820,"Memphis, TN-MS-AR",0.2701,-0.06104,-0.00734,0.03051,0.03787,-0.04761,0.116,0.1272,14.09,13.82,0.09528,0.1526,0.05737,10.34,10.79,0.4519,0.1319,0.2866,0.1548,0.1008,0.06296,-0.04176,0.344,0.078120001,0.9,-1.2,5.5,-0.2,1.9
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",0.7626,-0.07389,0.01024,0.02039,0.04326,-0.05196,0.1156,0.08875,15.04,14.28,0.2243,0.2094,-0.01492,10.45,10.86,0.4145,0.1516,0.356,0.2043,0.1023,0.05899,-0.04157,0.894,0.072350003,2.1,-3.7,10.6,6.1,4.0
33340,"Milwaukee-Waukesha-West Allis, WI",0.09418,-0.06403,-0.01093,0.03605,0.03891,-0.1004,0.1754,0.2428,14.24,14.15,0.111,0.1709,0.05992,10.64,10.96,0.3185,0.1597,0.3581,0.1983,0.1098,0.07088,-0.0348,0.1223,0.13644999,1.5,-4.0,4.3,2.7,1.4
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",0.4786,-0.07131,-0.003267,0.0355,0.03907,-0.06273,0.1373,0.1805,15.11,14.63,0.09701,0.1537,0.05665,10.62,11.08,0.4644,0.1973,0.4136,0.2163,0.1049,0.06581,-0.02855,0.5227,0.098237,1.6,-3.5,5.8,2.0,2.0
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",0.7472,-0.07756,-0.01517,0.0511,0.04163,-0.08061,0.1733,0.1573,14.53,13.78,0.1074,0.1416,0.03426,10.35,10.92,0.5718,0.1498,0.3755,0.2257,0.1042,0.06258,-0.03973,0.8361,0.13170999,3.6,-0.7,11.3,6.0,3.1
35300,"New Haven-Milford, CT",0.2661,-0.04837,0.005436,-0.009332,0.05226,-0.1318,0.1747,0.2212,13.81,13.54,0.1271,0.1845,0.0574,10.51,11.04,0.5309,0.1709,0.3446,0.1737,0.1255,0.0732,-0.04955,0.2941,0.122474,1.6,-2.6,3.4,0.9,2.0
35380,"New Orleans-Metairie, LA",-0.06206,-0.1017,0.008169,0.03937,0.0542,-0.03724,0.1308,0.08838,14.02,14.08,0.09039,0.179,0.08857,10.43,10.83,0.3922,0.1493,0.3167,0.1674,0.1103,0.05613,-0.04937,0.01267,0.076571003,2.1,-8.0,4.6,-1.3,5.0
35620,"New York-Newark-Jersey City, NY-NJ-PA",0.1647,-0.09825,-0.000932,0.0612,0.03798,-0.08746,0.1866,0.129,16.81,16.64,0.1216,0.1707,0.04905,10.57,11.13,0.5568,0.1828,0.4085,0.2257,0.102,0.06402,-0.04196,0.2518,0.148662,2.0,-3.1,5.1,2.2,1.6
